N° Incident;Open Date & Time;Assign To;Status;Customer;End Customer;N° Dossier Client;Country;HUB;Open By;Brend;Model;Component;Planning Date;Partner;Engineer;Couverture / Délais;Date limite;Etat;Groupe de l'opérateur;Close Date & Time;IB_SLA-GTI;IB_SLA-GTR;Serial #;IB_SLA-GBL
64019;11/18/2016 12:44:18 PM;SADDOLORATO;INTERVENTION;RICOH;ROHDE SCHWARZ;;Italy;Europe;SADDOLORATO;DELL;SERVER;POWER problem;11/24/2016 3:00:00 PM;TNT;Corriere;BEST_EFFORT;2016-01-12 14:54:44;O;CALL;;OK;;;OK
64015;11/18/2016 12:24:41 PM;FPARISI;CLOSED;ERREVI - KERAKOLL SPA;ERREVI- KERAKOLL SPA;N/C;Italy;Europe;FPARISI;EMC;SERVER;HDD problem;11/21/2016 7:00:00 PM;TNT;Corriere;H+4 SITE;11/21/2016 5:38:58 PM;C;CALL;11/21/2016 2:27:27 PM;OK;;CMX00001234;OK
64014;11/18/2016 12:13:57 PM;DFURCAS;CLOSED;APOGEO - APOGEO;APOGEO ITS;SUP-506AGFAGEVAERT102;Italy;Europe;DFURCAS;HP;SERVER;HDD problem;;;;J+1;11/19/2016 5:12:22 PM;C;CALL;11/18/2016 5:19:21 PM;OK;;;OK
64009;11/18/2016 10:59:49 AM;FPARISI;CLOSED;APOGEO - APOGEO;APOGEO ITS;KINFRAC-6983-ASS280;Italy;Europe;FPARISI;EMC;SERVER;HDD problem;11/22/2016 7:00:00 PM;TNT;Corriere;J+1;11/22/2016 10:15:56 AM;C;CALL;11/21/2016 10:20:06 AM;OK;;;OK
64007;11/18/2016 10:23:45 AM;FPARISI;CLOSED;TPR;TPR;N/C;Italy;Europe;FPARISI;HP;NETWORK;POWER problem;;;;J+1;11/19/2016 10:23:45 AM;C;CALL;11/18/2016 11:41:48 AM;OK;;;OK
64005;11/18/2016 10:23:01 AM;DFURCAS;CLOSED;TPR;TPR;NC;Italy;Europe;DFURCAS;HP;SERVER;MOTHERBOARD problem;;;;J+1;11/19/2016 10:23:01 AM;C;CALL;11/18/2016 11:26:28 AM;OK;;;OK
64004;11/18/2016 10:07:38 AM;SADDOLORATO;WAITING CLIENT;LUCART;LUCART;;Italy;Europe;SADDOLORATO;HP;SERVER;TO BE DEFINED problem;;;;BEST_EFFORT;11/25/2016 10:07:38 AM;O;CALL;;OK;;;OK
64003;11/18/2016 10:07:36 AM;SADDOLORATO;WAITING CLIENT;LUCART;LUCART;;Italy;Europe;SADDOLORATO;HP;SERVER;TO BE DEFINED problem;;;;BEST_EFFORT;11/25/2016 10:07:36 AM;O;CALL;;OK;;;OK
64002;11/18/2016 10:04:22 AM;FPARISI;CLOSED;FERRETTI - FERRETTI;FERRETTI;N/C;Italy;Europe;FPARISI;IBM;SERVER;Memory problem;11/21/2016 7:00:00 PM;-;Paolo Cruciani;H+4 SITE;11/22/2016 11:09:40 AM;C;CALL;11/22/2016 9:20:43 AM;OK;;KD8T54A;OK
64000;11/18/2016 9:38:52 AM;SADDOLORATO;CLOSED;ERGON - FONDAZ TOSCANA LIFE SCIENCES;ERGON - FONDAZ TOSCANA;;Italy;Europe;SADDOLORATO;NETAPP;SERVER;HDD problem;11/21/2016 3:00:00 PM;TNT;Corriere;J+1;11/22/2016 2:47:18 PM;C;CALL;11/22/2016 10:22:48 AM;OK;;2081050;OK
63999;11/18/2016 8:57:40 AM;SADDOLORATO;WAITING CLIENT;UNIPOL;UNIPOL SAI;;Italy;Europe;SADDOLORATO;IBM;STORAGE;HDD problem;;;;J+1;11/19/2016 8:57:40 AM;O;CALL;;NOK;;7820513;NOK
63998;11/18/2016 8:44:09 AM;SADDOLORATO;CLOSED;HP - PO CROSS;TELECOM PADOVA;5315050235;Italy;Europe;SADDOLORATO;HP;SERVER;INSTALLATION problem;11/19/2016 9:00:00 PM;Mbit / Ib;Mirco Borina / Leo;BEST_EFFORT;11/25/2016 5:30:35 PM;C;CALL;11/22/2016 4:14:26 PM;OK;;;OK
63983;11/17/2016 6:38:36 PM;DFURCAS;CLOSED;APOGEO - APOGEO;APOGEO ITS;KMC-4505010979-AGR7;Italy;Europe;DFURCAS;HP;SERVER;HDD problem;11/21/2016 3:00:00 PM;apogeo;pezzimenti;J+1;11/22/2016 10:13:43 AM;C;CALL;11/21/2016 10:20:38 AM;OK;;;OK
