N° Incident;Open Date & Time;Assign To;Status;Customer;End Customer;N° Dossier Client;Country;HUB;Open By;Brend;Model;Component;Planning Date;Partner;Engineer;Couverture / Délais;Date limite;Etat;Groupe de l'opérateur;Close Date & Time;IB_SLA-GTI;IB_SLA-GTR;Serial #;IB_SLA-GBL
63656;11/14/2016 3:48:25 PM;JAYOUB;CLOSED;ITS OVERLAP - ITAC DHL;ITAC DHL;INC000000368925;France;Europe;JAYOUB;CISCO;NETWORK;TO BE DEFINED problem;11/14/2016 7:30:00 PM;HDE;BEAUFILS;H+4 SITE 24;11/14/2016 11:25:34 PM;C;DISPATCH WESTERN EUROPE;11/15/2016 4:03:08 PM;OK;;FOC1030Z76V;OK
63653;11/14/2016 3:44:39 PM;CHERRIER;CLOSED;KDI - KDI;KIS FRANCE -KDI;N/C;France;Europe;CHERRIER;DELL;SERVER;HDD problem;11/15/2016 12:00:00 PM;livraison sur site client;client;J+1;11/16/2016 11:21:43 AM;C;DISPATCH WESTERN EUROPE;11/23/2016 11:44:49 AM;OK;;1Y28D2J;OK
63651;11/14/2016 3:32:54 PM;VSAUVAGE;CLOSED;ORANGE - ORANGE;ORANGE;1611825476;France;Europe;VSAUVAGE;NETAPP;STORAGE;HDD problem;11/21/2016 10:00:00 AM;HDE;Alain ATHLAN;J+1;11/22/2016 8:19:44 AM;C;DISPATCH WESTERN EUROPE;11/21/2016 6:07:03 PM;OK;;2000002135 98;OK
63641;11/14/2016 1:53:44 PM;OBOUCHAM;CLOSED;APX - CGG;CGG;NC;France;Europe;OBOUCHAM;EMC;STORAGE;HDD problem;11/21/2016 3:00:00 PM;HDE;Mehdi Amziane;H+4 SITE;11/15/2016 10:00:04 AM;C;DISPATCH WESTERN EUROPE;11/22/2016 11:50:31 AM;NOK;;0F48W27233;NOK
63639;11/14/2016 1:49:15 PM;OBOUCHAM;CLOSED;ORANGE BUSINESS SERVICES - SPM CISCO;ORANGE BUSINESS SERVICES - SPM CISCO;87530354;France;Europe;OBOUCHAM;CISCO;NETWORK;PCI cards problem;11/14/2016 4:00:00 PM;HDE;CLIENT;H+4 SITE;11/15/2016 10:08:45 AM;C;DISPATCH WESTERN EUROPE;11/15/2016 9:55:29 AM;OK;;;OK
63635;11/14/2016 1:27:25 PM;OBOUCHAM;FERME;IBM - SOITEC;SOITEC - BERNIN;706012H6T7;France;Europe;MAGIC;HITACHI;SERVER;HDD problem;11/15/2016 9:30:00 AM;HDE;FRANCK;H+4 SITE;11/15/2016 1:12:33 PM;C;EXTERNAL_SUPPORT;11/16/2016 7:21:51 AM;OK;;68017887;
63627;11/14/2016 12:31:28 PM;VSAUVAGE;CLOSED;SEWAN - SEWAN;SEWAN;NC;France;Europe;VSAUVAGE;HP;STORAGE;HDD problem;11/14/2016 6:00:00 PM;HDE;CLIENT;J+1 SITE;11/15/2016 5:57:03 PM;C;DISPATCH WESTERN EUROPE;11/15/2016 9:51:12 AM;OK;;;OK
63619;11/14/2016 11:59:24 AM;CHERRIER;CLOSED;INFIDIS - TOSHIBA TEC EUROPE;INFIDIS - TOSHIBA TEC EUROPE;N/C;France;Europe;CHERRIER;DELL;SERVER;Memory problem;11/16/2016 12:00:00 PM;livraison sur site;client;H+4 SITE 24;11/16/2016 2:12:21 PM;C;DISPATCH WESTERN EUROPE;11/17/2016 11:25:52 AM;OK;;3MMX84J;OK
63614;11/14/2016 11:44:45 AM;CHERRIER;CLOSED;QUILVEST BANQUE PRIVEE;QUILVEST BANQUE PRIVEE;na;France;Europe;JAYOUB;IBM;SERVER;FAN problem;11/21/2016 3:00:00 PM;BEST INFO;BEST INFO;BEST_EFFORT;11/28/2016 10:56:42 AM;C;DISPATCH WESTERN EUROPE;11/21/2016 8:01:07 PM;OK;;;OK
63611;11/14/2016 11:28:23 AM;JAYOUB;CLOSED;ALU - EVOLIUM - PART III - NPO;ALU - EVOLIUM PART III;#0012654;France;Europe;JAYOUB;HP;SERVER;HDD problem;11/14/2016 3:00:00 PM;EVOLIUM;ETHVIGNOT;J+1;11/15/2016 2:22:58 PM;C;DISPATCH WESTERN EUROPE;11/15/2016 11:18:24 AM;OK;;CZ3235V7EK;OK
63610;11/14/2016 11:21:21 AM;JAYOUB;CLOSED;DFI  - IMS HEALTH;TRSB;;France;Europe;JAYOUB;HP;SERVER;HDD problem;11/14/2016 3:30:00 PM;TRSB;CLIENT;J+1;11/15/2016 3:18:44 PM;C;DISPATCH WESTERN EUROPE;11/15/2016 10:30:23 AM;OK;;CZJ12108F9;OK
63608;11/14/2016 11:13:47 AM;CHERRIER;CLOSED;ORANGE BUSINESS SERVICES - ORANGE BUSINESS SERVICES;ORANGE OBS;N/C;France;Europe;CHERRIER;EMC;STORAGE;HDD problem;11/15/2016 3:00:00 PM;HDE;Antoine FANELLI;H+4 SITE 24;11/15/2016 3:20:06 PM;C;DISPATCH WESTERN EUROPE;11/15/2016 5:00:25 PM;OK;;290102209;OK
63604;11/14/2016 10:56:29 AM;JAYOUB;CLOSED;ALU - EVOLIUM - PART III - NPO;ALU - EVOLIUM PART III;#0012652;France;Europe;JAYOUB;HP;SERVER;HDD problem;11/14/2016 3:00:00 PM;EVOLIUM;CLIENT;J+1;11/15/2016 1:32:43 PM;C;DISPATCH WESTERN EUROPE;11/15/2016 11:17:34 AM;OK;;;OK
63603;11/14/2016 10:53:23 AM;CHERRIER;CLOSED;BOUYGUES IMMOBILIER - BOUYGUES IMMOBILIER;BOUYGUES IMMOBILIER;N/C;France;Europe;CHERRIER;DELL;STORAGE;HDD problem;11/15/2016 10:00:00 AM;HDE;Antoine FANELLI;H+4 SITE;11/15/2016 12:42:52 PM;C;DISPATCH WESTERN EUROPE;11/18/2016 11:13:34 AM;OK;;9GDLV4JÂ;OK
63600;11/14/2016 10:46:24 AM;BARKAT;CLOSED;PCI RPH - AGFA;PCI RPH - AGFA;NC;France;Europe;BARKAT;HP;SERVER;HDD problem;11/15/2016 6:30:00 PM;CLIENT;CLIENT;J+1;11/16/2016 4:09:16 PM;C;DISPATCH WESTERN EUROPE;11/15/2016 4:16:26 PM;OK;;CZ2147093C;OK
63597;11/14/2016 10:35:58 AM;BARKAT;CLOSED;;ALU - EVOLIUM PART III;GLPI #0012651;France;Europe;BARKAT;HP;SERVER;HDD problem;11/15/2016 6:30:00 PM;CLIENT;CLIENT;J+1;11/16/2016 8:45:21 AM;C;DISPATCH WESTERN EUROPE;11/15/2016 9:53:34 AM;OK;;GB803976B5;OK
63596;11/14/2016 10:27:36 AM;BARKAT;CLOSED;VENTE PRIVEE - VENTE PRIVEE;VENTE PRIVEE;NC;France;Europe;BARKAT;EMC;STORAGE;HDD problem;11/18/2016 3:00:00 PM;HDE;Antoine FANELLI;J+1;11/19/2016 11:59:51 AM;C;DISPATCH WESTERN EUROPE;11/21/2016 11:02:38 AM;OK;;CK200074700974;OK
63594;11/14/2016 10:20:28 AM;VSAUVAGE;WAITING CLIENT;INFIDIS - GSK;INFIDIS - GSK;NC;France;Europe;VSAUVAGE;HP;SERVER;BATTERY Problem;;;;BEST_EFFORT;11/21/2016 10:20:28 AM;O;DISPATCH WESTERN EUROPE;;OK;;CZC8236XQ5;OK
63585;11/14/2016 9:37:04 AM;STEPHAN;CLOSED;CHEOPS - CH CLERMONT;CHEOPS - CH CLERMONT;nc;France;Europe;STEPHAN;HP;STORAGE;HDD problem;11/15/2016 11:17:10 AM;LIVRAISON SUR SITE;client;H+4 SITE;11/15/2016 2:52:31 PM;C;DISPATCH WESTERN EUROPE;11/18/2016 9:36:56 AM;OK;;SGA941029V;OK
63584;11/14/2016 9:30:45 AM;STEPHAN;SUPPLY CHAIN;FONCIA - FONCIA;FONCIA;nc;France;Europe;STEPHAN;IBM;SERVER;TO BE DEFINED problem;11/23/2016 6:30:00 PM;HDE;YOANN ROKS;H+4 SITE 24;11/23/2016 10:01:47 PM;O;DISPATCH WESTERN EUROPE;;NOK;;99C3147;NOK
63583;11/14/2016 8:34:07 AM;STEPHAN;WAITING CLIENT;FONCIA - FONCIA;FONCIA;I16_049827;France;Europe;STEPHAN;IBM;SERVER;TO BE DEFINED problem;;;;J+1;11/18/2016 10:42:42 AM;O;DISPATCH WESTERN EUROPE;;OK;;;OK
63568;11/13/2016 1:52:47 PM;STEPHAN;CLOSED;CH ROBERT BALLANGER - CH ROBERT BALLANGER;CH BALLANGER;NC;France;Europe;STEPHAN;IBM;STORAGE;HDD problem;11/14/2016 9:00:00 AM;Livraison sur site;client;H+8;11/14/2016 5:00:13 PM;C;DISPATCH WESTERN EUROPE;11/14/2016 6:17:34 PM;OK;;78K0CXF;OK
63562;11/13/2016 9:26:27 AM;STEPHAN;CLOSED;SCALAIR - INSTITUT BIOLOGIE DE LILLE;INSTITUT BIOLOGIE DE LILLE;NC;France;Europe;STEPHAN;NETAPP;STORAGE;HDD problem;11/16/2016 12:00:00 PM;livraison sur site;client;J+1;11/17/2016 11:04:25 AM;C;DISPATCH WESTERN EUROPE;11/18/2016 5:32:55 PM;OK;;210000042471;OK
63557;2016-12-11 14:01:13;STEPHAN;CLOSED;APX - CGG;CGG;nc;France;Europe;STEPHAN;EMC;STORAGE;HDD problem;11/14/2016 3:00:00 PM;LIVRAISON SUR SITE;CLIENT;H+4 SITE 24;11/14/2016 5:50:57 PM;C;DISPATCH WESTERN EUROPE;11/15/2016 10:48:33 AM;OK;;CKM00111201199;OK
63555;2016-12-11 12:24:51;STEPHAN;CLOSED;CONTINENTAL;CONTINENTAL;nc;France;Europe;STEPHAN;DIGITAL;SERVER;TO BE DEFINED problem;11/15/2016 12:00:00 PM;livraison sur site;client;H+4 SITE 24;11/14/2016 12:33:35 PM;C;DISPATCH WESTERN EUROPE;11/15/2016 4:33:25 PM;NOK;;;NOK
63554;2016-12-11 12:19:45;STEPHAN;CLOSED;CONTINENTAL;CONTINENTAL;NC;France;Europe;STEPHAN;DIGITAL;SERVER;POWER problem;11/15/2016 12:00:00 PM;livraison sur site;client;H+4 SITE 24;11/15/2016 3:03:57 PM;C;DISPATCH WESTERN EUROPE;11/17/2016 12:23:27 PM;OK;;;OK
63537;2016-11-11 15:52:41;STEPHAN;CLOSED;ASLEASE - CDISCOUNT;CDISCOUNT;nc;France;Europe;STEPHAN;IBM;SERVER;HDD problem;11/15/2016 3:10:32 PM;livraison sur site;client;H+4 SITE 24;2016-11-11 19:52:41;C;DISPATCH WESTERN EUROPE;11/17/2016 2:28:11 PM;NOK;;KD53CK5;NOK
63509;2016-11-11 08:44:06;STEPHAN;CLOSED;NAVLINK - NAVLINK;NAVLINK - KSA;FDCTckt#10014493;France;Europe;STEPHAN;DELL;SERVER;HDD problem;11/14/2016 9:00:00 AM;HDE;THIBAULT;H+4 SITE 24;2016-11-11 12:57:10;C;DISPATCH WESTERN EUROPE;11/14/2016 2:24:21 PM;NOK;;B27P55J;NOK
63492;2016-10-11 17:08:47;CHERRIER;FERME;IBM - SPM;SPM;706012H7GH;France;Europe;MAGIC;DELL;ROBOTIC;CHASSIS problem;11/14/2016 8:30:00 AM;mise a disposition sur le PUDO;IBM;H+4 SITE 24;11/14/2016 11:34:37 AM;C;EXTERNAL_SUPPORT;11/14/2016 9:41:53 AM;OK;;X2U78AC028;OK
63484;2016-10-11 15:36:32;CHERRIER;FERME;IBM - SPM;SPM;706012HDN4;France;Europe;MAGIC;IBM;STORAGE;HDD problem;11/14/2016 8:30:00 AM;mise a dispo sur le PUDO;IBM;J+1;11/15/2016 7:49:13 AM;C;EXTERNAL_SUPPORT;11/14/2016 9:47:57 AM;OK;;;OK
